Elapsed time;/
28:14,0;10270.0
28:21,5;193.0
28:28,5;150.0
28:35,5;175.0
28:43,0;158.0
28:55,0;124.0
29:02,0;124.0
29:09,5;86.0
29:16,5;144.0
29:23,5;117.0
29:35,5;5106.0
29:43,0;163.0
29:50,0;101.0
29:57,0;100.0
30:04,0;82.0
30:16,5;175.0
30:23,5;94.0
30:30,5;118.0
30:37,5;70.0
30:44,5;71.0
30:57,0;87.0
31:04,0;80.0
31:11,0;67.0
31:18,0;88.0
31:25,0;80.0
31:37,0;68.0
31:44,5;72.0
31:51,5;68.0
31:58,5;117.0
32:05,5;99.0
32:18,0;75.0
32:25,0;123.0
32:32,0;87.0
32:39,0;90.0
32:46,0;76.0
32:58,5;69.0
33:05,5;78.0
33:12,5;82.0
33:19,5;92.0
33:26,5;75.0
33:39,0;75.0
33:46,0;81.0
33:53,0;86.0
34:00,0;94.0
34:07,0;78.0
34:19,5;58.0
34:26,5;81.0
34:33,5;148.0
34:40,5;77.0
34:47,5;76.0
35:00,0;92.0
35:07,0;92.0
35:14,0;64.0
35:21,0;58.0
35:28,0;97.0
35:40,0;98.0
35:47,5;67.0
35:54,5;89.0
36:01,5;80.0
36:08,5;78.0
36:20,5;76.0
36:27,5;75.0
36:35,0;94.0
36:42,0;85.0
36:49,0;83.0
37:01,0;94.0
37:08,0;85.0
37:15,5;119.0
37:22,5;80.0
37:29,5;90.0
37:41,5;81.0
37:48,5;75.0
37:56,0;71.0
38:03,0;66.0
38:10,0;98.0
38:22,0;97.0
38:29,0;77.0
38:36,0;81.0
38:43,5;56.0
38:50,5;78.0
39:02,5;92.0
39:09,5;64.0
39:16,5;81.0
39:23,5;92.0
39:31,0;67.0
39:43,0;64.0
39:50,0;86.0
39:57,0;92.0
40:04,0;86.0
40:11,5;78.0
40:23,5;83.0
40:30,5;78.0
40:37,5;87.0
40:44,5;77.0
40:52,0;83.0
41:04,0;56.0
41:11,0;67.0
41:18,0;76.0
41:25,0;91.0
41:32,0;58.0
41:49,5;83.0
41:56,5;99.0
42:03,5;53.0
42:10,5;66.0
42:17,5;73.0
42:29,5;56.0
42:37,0;82.0
42:44,0;55.0
42:51,0;87.0
42:58,0;58.0
43:10,0;56.0
43:17,0;75.0
43:24,5;62.0
43:31,5;69.0
43:38,5;78.0
43:50,5;87.0
43:57,5;73.0
44:04,5;74.0
44:12,0;70.0
44:19,0;75.0
44:31,0;81.0
44:38,0;73.0
44:45,0;81.0
44:52,0;90.0
44:59,5;77.0
45:11,5;74.0
45:18,5;81.0
45:25,5;58.0
45:32,5;79.0
45:39,5;56.0
45:51,5;58.0
45:59,0;64.0
46:06,0;25.0
46:13,0;73.0
46:20,0;69.0
46:32,0;58.0
46:39,0;63.0
46:46,0;66.0
46:53,5;62.0
47:00,5;65.0
47:12,5;72.0
47:19,5;70.0
47:26,5;72.0
47:33,5;56.0
47:41,0;61.0
47:53,0;56.0
48:00,0;65.0
48:07,0;63.0
48:14,0;71.0
48:21,0;72.0
48:33,0;71.0
48:40,5;67.0
48:47,5;56.0
48:54,5;55.0
49:01,5;63.0
49:13,5;66.0
49:20,5;64.0
49:27,5;59.0
49:35,0;70.0
49:42,0;50.0
49:54,0;66.0
50:01,0;55.0
50:08,0;70.0
50:15,0;60.0
50:22,0;70.0
50:34,5;66.0
50:41,5;66.0
50:48,5;78.0
50:55,5;70.0
51:02,5;72.0
51:14,5;57.0
51:22,0;67.0
51:29,0;78.0
51:36,0;55.0
51:43,0;57.0
51:55,0;78.0
52:02,0;61.0
52:09,0;66.0
52:16,5;52.0
52:23,5;69.0
52:35,5;61.0
52:42,5;64.0
52:49,5;75.0
52:56,5;70.0
53:03,5;93.0
53:16,0;75.0
53:23,0;60.0
53:30,0;68.0
53:37,0;74.0
53:44,0;100.0
53:56,5;75.0
54:03,5;67.0
54:10,5;69.0
54:17,5;75.0
54:24,5;78.0
54:36,5;81.0
54:43,5;78.0
54:51,0;61.0
54:58,0;62.0
55:05,0;81.0
55:22,0;49.0
55:29,0;68.0
55:36,0;49.0
55:43,0;42.0
55:50,5;64.0
56:02,5;81.0
56:09,5;60.0
56:16,5;95.0
56:23,5;35.0
56:30,5;71.0
56:43,0;49.0
56:50,0;62.0
56:57,0;71.0
57:04,0;83.0
57:11,0;80.0
57:23,5;67.0
57:30,5;73.0
57:37,5;67.0
57:44,5;59.0
57:51,5;67.0
58:04,0;49.0